name,description,stars,forks,language,readme,topic,summary
cert-verifier,Python library for verifying Blockcerts,0,0,Python,[![Build Status](https://travis-ci.org/blockchain-certificates/cert-verifier.svg?branch=master)](htt,blockchain-certificates,"This GitHub repository provides a Python library for verifying Blockcerts, which are blockchain-based digital certificates. It includes tools and functionality to validate the authenticity and integrity of certificates issued on blockchain networks. The repository appears to have integration with CI tools like Travis CI for build status tracking."
certificate-schema,No description,1,0,JavaScript,"# MOVED TO https://github.com/OpenCerts/open-certificate

## Schema Version

[v1.0](https://govtechs",blockchain-certificates,"This repository has been moved to a new location at [https://github.com/OpenCerts/open-certificate](https://github.com/OpenCerts/open-certificate). It appears to be related to a schema version, possibly for digital certificates, with a reference to version 1.0. Further updates and development can be found in the new repository."
CFT-Docs,Documentation for Cloud File Transfer (CFT),0,1,HTML,"# What is CFT?
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras blandit tristique aucto",cloud-architecture,"The repository provides documentation for Cloud File Transfer (CFT), a system designed to facilitate file transfers in cloud environments. The README.md content is incomplete, but it appears to introduce CFT and its functionality. Further details would likely be found in the repository's additional files or sections."
chatbot-notifier,This application allow sending of messages to chat group with token ecryption capabilities,5,1,Go,"# chatbot-notifier

chatbot-notifier is a tool for sending message with telegram bot while securing ",cybersecurity,chatbot-notifier is an application designed to send messages to chat groups using a Telegram bot. It incorporates token encryption to enhance security during message transmission. This tool simplifies secure communication within group chats.
commitlint-circle,Lint all relevant commits for a change or PR on Circle CI,0,0,None specified,"> Lint all relevant commits for a change or PR on Circle CI

# commitlint-circle

This package is a ",commit-message-linting,"commitlint-circle is a tool designed to lint all relevant commits associated with a change or pull request (PR) on CircleCI. It ensures commit messages adhere to defined standards, improving code quality and collaboration."
containerstack-doc-crds,This repository stores containerstack crds which meant to be published in doc portal,0,0,None specified,"# containerstack-doc-crds
",cloud-architecture,"This repository contains the CRDs (Custom Resource Definitions) for ContainerStack, intended for publication in the documentation portal. It serves as a centralized storage for these definitions to support documentation and development purposes."
crawlee-core,No description,0,0,JavaScript,"<h1 align=""center"">
    <a href=""https://crawlee.dev"">
        <picture>
          <source media=""(p",web scraping,"The repository appears incomplete or improperly formatted, with missing or truncated content in the README.md file. It seems to reference ""Crawlee,"" a web scraping and crawling framework, but no substantial details are provided. For further understanding, access to the full README.md or additional context is required."
crossplane-provider-aws,Crossplane Amazon Web Services (AWS) infrastructure provider.,0,0,Go,"# provider-aws

## Overview

This `provider-aws` repository is the Crossplane infrastructure provide",cloud-architecture,"The `provider-aws` repository is a Crossplane infrastructure provider for managing Amazon Web Services (AWS) resources. It enables users to provision and manage AWS services declaratively using Kubernetes-style APIs. The repository is part of the Crossplane ecosystem, designed to extend Kubernetes with cloud-native infrastructure management capabilities."
csharp-apex-api-security,🔑  C# helper utility that sign HTTP Authorization Scheme for API authentication,4,4,C#,"# APEX API C# Security Utility 
[![Build Status](https://travis-ci.org/GovTechSG/csharp-apex-api-sec",cybersecurity,The repository provides a C# utility designed to facilitate API authentication by signing HTTP Authorization Scheme headers. It includes tools and methods to enhance security for API requests. The utility is aimed at developers working with C# who require secure and efficient API authentication mechanisms.
cstack-ecr-repo-list,Quick UI into an AWS ECR repository,1,0,JavaScript,"# Introduction

This application is built on top of [rk295/ecr-repo-list](https://github.com/rk295/e",cloud-architecture,"This repository provides a simple user interface for browsing and managing AWS Elastic Container Registry (ECR) repositories. It is built on top of the [rk295/ecr-repo-list](https://github.com/rk295/ecr-repo-list) project. The application streamlines access to ECR repositories, making it easier to view and interact with container images."
cstack-quota-monitoring,Container Stack monitoring for Cloud Resource quota,0,0,JavaScript,"# cstack-quota-monitoring
Container Stack monitoring for Cloud Resource quota

Description
=========",cloud-architecture,"The ""cstack-quota-monitoring"" repository is a tool designed for monitoring cloud resource quotas within container stack environments. It helps track and manage resource usage to ensure that cloud resource limits are not exceeded. This project aims to provide insights and facilitate efficient resource allocation in cloud-based infrastructures."
dependency-check-action,Runs OWASP dependency-check on github repo,1,0,None specified,"# depedency-check-action
Runs OWASP dependency-check on github repo

## Docker Image

Image [public.",cybersecurity,The **dependency-check-action** GitHub repository provides a GitHub Action to run the OWASP Dependency-Check tool on a repository. This helps identify and report vulnerabilities in project dependencies by leveraging a Docker image to execute the scan. It is designed to enhance security in software projects by integrating automated dependency vulnerability checks into the CI/CD pipeline.
dependency-hasher,Source for dependency hasher,0,0,Shell,README not available,algorithmic-impact-assessment,"This GitHub repository contains the source code for a dependency hasher, a tool likely used to compute hashes for dependencies. However, since the README.md is unavailable, detailed usage instructions or additional context about its functionality are not provided."
developer.gov.sg-natasha-5-12,No description,0,0,HTML,"# developer.gov.sg

[![Known Vulnerabilities](https://snyk.io//test/github/GovTechSG/developer.gov.s",government-digital-transformation,"The repository ""developer.gov.sg"" appears to be related to the GovTech Singapore development platform. The README.md includes a badge for vulnerability tracking via Snyk, indicating a focus on security. However, the provided content is incomplete, and the repository lacks a description, making it difficult to ascertain its full purpose or functionality. For more details, reviewing the complete README.md or codebase is necessary."
.github,GitHub community health files for Open Government Products,1,1,None specified,"# .github

This repository contains GitHub [community health files](https://docs.github.com/en/commu",government-open-source-template,"This repository, maintained by Open Government Products, contains GitHub community health files such as issue templates, pull request templates, and contributing guidelines. These files are designed to standardize and improve collaboration across projects hosted by the organization. It follows GitHub’s best practices for community engagement and repository management."
action-pr-description-add,GitHub Action to change Pull Request descriptions.,0,0,None specified,"<!-- Badges -->
[![Build-Test](https://github.com/bcgov-nr/action-pr-description-add/actions/workflo",commit-message-linting,This GitHub repository provides a GitHub Action for modifying Pull Request descriptions. It allows users to programmatically update or append content to PR descriptions during workflows. The tool is designed to streamline collaboration and improve documentation consistency in pull request management.
activesg-pgbench,No description,0,0,None specified,"# ActiveSG pgbench

## Conclusions

Errors happen when all of the following conditions are met:

- q",benchmarking-analysis,"The repository ""ActiveSG pgbench"" appears to focus on identifying and analyzing errors under specific conditions during performance benchmarking or testing, as indicated by the README.md. However, the README.md content is incomplete, providing only a fragment under ""Conclusions,"" stating that errors occur when certain conditions are met, with no further details. The repository likely involves tools or scripts related to benchmarking, but additional context or documentation is required for a clearer understanding."
add-pr-comment,uses: mshick/add-pr-comment@v2,0,0,None specified,"# add-pr-comment

<!-- ALL-CONTRIBUTORS-BADGE:START - Do not remove or modify this section -->

[![A",github-actions,The `add-pr-comment` GitHub Action allows users to programmatically add comments to pull requests during workflows. It is part of the `mshick/add-pr-comment` repository and supports flexible configurations to customize comments based on CI/CD needs. This tool is particularly useful for automating feedback or updates directly within pull requests.
armoury-docs,No description,0,0,None specified,README not available,algorithmic-impact-assessment,"The GitHub repository lacks both a description and a README file, so no information is available to summarize its purpose or contents."
askgov2,No description,0,1,TypeScript,"# AskGov2

Answers from the Singapore Government (v2)

## Tools 

* Needed to run in development:
  ",government-digital-transformation,"AskGov2 is a platform that provides answers from the Singapore Government, serving as a version 2 of the project. The repository includes tools required for development, though specifics are not detailed in the provided README content."
askgovsg,Answers from the Singapore Government,17,6,TypeScript,"# AskGov
Answers from the Singapore Government 

## Tech Stack

#### Front-end

- Front-end Framewor",government-digital-transformation,"AskGov is a GitHub repository designed to provide answers from the Singapore Government. It focuses on delivering information using a front-end framework, as suggested by the tech stack section. The README provides minimal details, primarily highlighting the project's purpose and its reliance on front-end technologies."
askgovsg-demo,No description,0,0,Pug,README not available,algorithmic-impact-assessment,"The GitHub repository lacks a description and README.md content, making it impossible to determine its purpose or functionality."
aws-ssm-getparameters-action,"A GitHub action centered on AWS Systems Manager Parameter Store GetParameters call, and placing the results into environment variables",0,0,TypeScript,"# AWS SSM Parameter Store GetParameters Action

A GitHub action centered on AWS Systems Manager Para",github-actions,"This GitHub repository provides a GitHub Action designed to fetch parameters from AWS Systems Manager Parameter Store using the `GetParameters` API call. The retrieved parameters are automatically set as environment variables, enabling seamless integration with workflows. It simplifies secure and efficient parameter management within CI/CD pipelines."
beanstalk-deploy,GitHub action (and command line script) to deploy apps to Elastic Beanstalk,0,0,JavaScript,"# Beanstalk Deploy

Beanstalk Deploy is a GitHub action (and command line script) to deploy apps to ",github-actions,"Beanstalk Deploy is a GitHub Action and command-line tool designed to simplify the deployment of applications to AWS Elastic Beanstalk. It automates the deployment process, making it easier for developers to integrate Elastic Beanstalk deployments into their CI/CD workflows. The tool is versatile and can be used both as a GitHub Action or standalone script."
beeline-eol-build,The final build of the Beeline app,0,0,CSS,README not available,algorithmic-impact-assessment,"The repository contains the final build of the Beeline app. However, no README.md content is provided to elaborate on the app's features, functionality, or purpose."
blueprint-jekyll-theme,Staging: https://stupefied-curie-98b835.netlify.com/; Production: https://opengovsg.github.io/blueprint-jekyll-theme/,0,0,CSS,"# blueprint-jekyll-theme

## Usage

The blueprint-jekyll-theme repo offers a remote_theme option for",web development,"The **blueprint-jekyll-theme** repository provides a Jekyll theme designed for use as a remote theme, enabling streamlined website development and customization. It includes staging and production URLs for testing and deployment, with staging hosted on Netlify and production hosted on GitHub Pages. The theme is optimized for open government and organizational use cases, allowing users to quickly integrate and build functional websites."
camp-design-system,The Design System used at Open Government Products,42,11,TypeScript,"# Open Government Products Design System

Exports components which follow the design and accessibili",government-digital-transformation,The Open Government Products Design System repository provides reusable components that adhere to design and accessibility standards. It serves as the foundation for creating consistent and accessible user interfaces within Open Government Products.
carparks-near-me,No description,2,0,JavaScript,"# nearestCarparkInfo API
This repository is the API used for the [Understanding Web Development Cour",web development,"The ""nearestCarparkInfo API"" repository provides an API developed as part of the ""Understanding Web Development"" course. It is designed to retrieve information about the nearest car parks. Further details about its functionality, setup, or usage are not provided in the README.md."
cbdc-smart-contracts,Smart contracts for the CBDC collaboration,11,2,TypeScript,"<h1 align=""center"">
  <br>
  <a href=""https://github.com/opengovsg/cbdc-smart-contracts/wiki"" width=",blockchain-database,This GitHub repository contains smart contracts designed for Central Bank Digital Currency (CBDC) collaboration. It provides foundational code and documentation to facilitate secure and efficient deployment of CBDC-related blockchain solutions. The README directs users to additional resources and a detailed wiki for further guidance.
changesets-action,fork of https://github.com/changesets/action for internal use,0,0,TypeScript,"# Changesets Release Action

This action for [Changesets](https://github.com/changesets/changesets) ",github-actions,"The repository is a fork of the Changesets Release Action, which is an action for automating the release process using Changesets. It is intended for internal use and integrates with the Changesets workflow to streamline versioning and publishing of packages."
checkfirst,Don't Know? CheckFirst. A tool to build eligibility checkers and calculators for Singapore Government policies,14,6,TypeScript,"# CheckFirst

Don't Know? CheckFirst. A tool to build eligibility checkers and calculators for Singa",government-digital-transformation,CheckFirst is a tool designed to create eligibility checkers and calculators for Singapore Government policies. It simplifies the process of determining eligibility for various schemes by providing a customizable framework. The repository supports users in building intuitive tools tailored to specific policy requirements.
CheckGoGovSG,Verify phone calls from public officers using GoGovSG,0,0,TypeScript,"# Remix

This directory is a brief example of a [Remix](https://remix.run/docs) site that can be dep",government-digital-transformation,"The repository is a Remix-based project designed to verify phone calls from public officers using GoGovSG. It serves as a tool to ensure authenticity and trust in communication between government officials and the public. The README.md provides a minimal example of a Remix site setup, though detailed implementation instructions are not included."
CheckWho,Enable Singapore residents to easily and authoritatively verify public officers,0,0,TypeScript,"# CheckWho

## Getting started with your dev environment

### Initialization

- Make a copy of `/bac",government-digital-transformation,"CheckWho is a tool designed to help Singapore residents easily and authoritatively verify the identities of public officers. The repository includes instructions for setting up a development environment, starting with initialization steps. While the README.md content appears to be incomplete, the project likely focuses on providing a reliable verification process for public officers in Singapore."
checkwho-infra,No description,0,0,TypeScript,"# CheckWho Infra Repo

## Setup

If you are here after running [create-ogp-app](https://github.com/o",cloud-architecture,"The ""CheckWho Infra Repo"" appears to be an infrastructure-related repository that is part of the ""create-ogp-app"" project. It likely contains setup instructions and configuration for deploying or managing the infrastructure of the associated application. However, the README.md is incomplete, leaving specific details about its purpose and functionality unclear."
codeql-config,No description,0,1,None specified,README not available,algorithmic-impact-assessment,"This GitHub repository lacks a description and does not provide a README.md file, leaving its purpose and content unclear."
ColouriseSG,A deep learning colouriser prototype specifically for old Singaporean photos.,26,1,None specified,"# ColouriseSG
A deep learning colouriser prototype specifically for old Singaporean photos.
",ai,ColouriseSG is a deep learning-based prototype designed to colorize old Singaporean photos.
countries-regions-codes,Utility for converting between nationality codes,7,0,TypeScript,"# Convert country/region codes

![Coverage Status](https://coveralls.io/repos/github/opengovsg/count",geographic-code-conversion,This GitHub repository provides a utility for converting between country or region nationality codes. It simplifies the process of mapping and translating codes used to represent countries or regions in various formats. The project includes test coverage to ensure reliability and accuracy.
credits-generator,Attributes the authors of your first-level package.json dependencies,17,6,JavaScript,"# credits-generator

Takes in package.json and outputs a CREDITS.md file attributing the authors of ",github-actions,"The **credits-generator** tool processes a `package.json` file to generate a `CREDITS.md` file, attributing the authors of first-level dependencies listed in the file. It automates the process of crediting open-source contributors for the dependencies used in a project."
ctrl-shift,Web application for solving Employee Rostering using OptaPlanner,4,0,TypeScript,":projectKey: optaweb-employee-rostering
:sonarBadge: image:https://sonarcloud.io/api/project_badges/",constraint-solving,"This GitHub repository hosts a web application for solving Employee Rostering problems using OptaPlanner, an AI-based constraint solver. It provides tools to optimize employee schedules while adhering to constraints like shift requirements and employee availability. The project focuses on improving workforce management efficiency through automated, intelligent rostering."
deploy,Opinionated convenience wrapper action for applications to deploy to AWS ECS or Fly.io,0,0,None specified,"# Deploy

An opinionated convenience wrapper action for applications to deploy to AWS ECS or Fly.io
",github-actions,This GitHub repository provides an opinionated GitHub Action designed as a convenience wrapper to streamline the deployment of applications to either AWS Elastic Container Service (ECS) or Fly.io. It simplifies the deployment process for developers by abstracting repetitive tasks.
deploy-to-vercel-action,Fork to resolve null author.login,0,0,JavaScript,"<div align=""center"">

# Deploy to Vercel Action

[![Node CI](https://github.com/BetaHuhn/deploy-to-v",github-actions,"The repository is a fork of the original ""Deploy to Vercel Action"" GitHub Action, created to address an issue with `null author.login`. It automates the deployment of projects to Vercel directly from GitHub Actions. The repository includes CI integration and simplifies the deployment workflow for developers. The README.md provides setup instructions and usage details."
design-tokens,No description,0,0,None specified,"# Design Tokens
",design-tokens,"This repository focuses on ""Design Tokens,"" which are centralized, platform-agnostic style definitions used in design systems to maintain consistency across applications. It likely includes resources, examples, or tools for implementing and managing design tokens in projects. However, the README provides minimal information, so specifics about its contents or usage are unclear."
discoversg,No description,0,1,CSS,"## Overview

This project repo has two parts, the main folder with a
[Create React App](https://gith",web development,"This repository contains a project split into two parts, with the main folder using Create React App for building a React application. The README is incomplete, and no further information is provided about the project's purpose or functionality."
docker-nginx-open-dev-ports,No description,0,0,HTML,"# docker-nginx-open-dev-ports

This is the Git repo of the Docker ""[nginx open dev ports image](http",web development,The repository hosts a Docker image for Nginx configured to open development ports. It appears to facilitate development workflows by allowing easy access to open ports in an Nginx server setup. Additional details about configuration or usage are not provided in the README.md.
.github,Alphagov organisation health files,6,19,None specified,"# .github

Alphagov organisation health files
",government-open-source-template,"This repository contains organizational health files for the Alphagov GitHub organization. It likely includes shared templates, guidelines, or documentation aimed at maintaining and standardizing best practices across the organization."
a11y,A collection of accessibility resources for developers building GOV.UK,5,4,None specified,"a11y
====

A collection of accessibility resources for developers building GOV.UK

What follows is a",accessibility-resources,"The repository ""a11y"" is a curated collection of accessibility resources designed to assist developers in creating accessible services for GOV.UK. It provides tools, guidelines, and best practices to ensure compliance with accessibility standards and improve the user experience for all."
a11y-dev-workshop,No description,6,2,HTML,"# a11y-dev-workshop

* [Preparation notes](preparation.md)
* [Exercise 1](exercise1.md)
* [Exercise ",accessibility-resources,"The ""a11y-dev-workshop"" repository appears to be focused on accessibility (a11y) development. It includes resources such as preparation notes and exercises to guide users through accessibility-related concepts or practices. The content seems structured to support learning and hands-on engagement with accessibility topics."
accessibility,A repo to organize the guidelines and best practices for accessibility at 18f.,0,2,Ruby,"# Accessibility
This repo will contain the guidelines and best practices for 508 accessibility at 18",accessibility-resources,"This GitHub repository is dedicated to organizing guidelines and best practices for ensuring 508 accessibility compliance at 18F. It serves as a resource to promote accessibility in digital projects, aligning with federal standards. The repository aims to provide clear and actionable recommendations for creating inclusive and accessible designs."
accessibility-community-notes-and-discussion,Draft accessibility guidance,21,5,None specified,"The  documents and wiki notes are available for discussion but do not constitute offical guidance
",accessibility-resources,"This GitHub repository contains draft accessibility guidance, including documents and wiki notes intended for discussion. The content is not official guidance but serves as a basis for collaboration and feedback."
accessibility-guidance,No description,2,2,Ruby,"# Accessibility Guidance

This is draft accessibility guidance for the new accessibility regulations",accessibility-resources,This repository contains draft accessibility guidance related to new accessibility regulations. It serves as a resource for understanding and implementing accessibility requirements.
accessibility-issues,Collecting accessibility issues we find,2,4,HTML,"# Accessibility issues

This tool is for collecting accessibility issues we find. This is to
* gathe",accessibility-resources,"This GitHub repository is designed to collect and document accessibility issues encountered in various contexts. It serves as a centralized resource to gather, track, and possibly address these issues. The aim is to improve accessibility awareness and solutions."
accessibility-monitoring,Tool(s) for sampling/monitoring/testing accessibility of public sector websites ,3,2,PHP,"# Accessibility Monitoring

Tool(s) for sampling/monitoring/testing accessibility of public sector w",accessibility-resources,"This repository provides tools for sampling, monitoring, and testing the accessibility of public sector websites. It aims to support accessibility compliance and improve user experiences by identifying and addressing accessibility issues."
accessibility-monitoring-platform,GDS internal system for managing the accessibility testing of public sector websites.,2,0,Python,"# GDS Accessibility Monitoring Platform

The accessibility monitoring platform is to support the acc",accessibility-resources,"The GDS Accessibility Monitoring Platform is an internal system designed to manage and support the accessibility testing of public sector websites. It helps ensure compliance with accessibility standards, facilitating efficient monitoring and reporting."
accessibility-personas,Experience the web as personas with access needs,26,6,JavaScript,"# Accessibility Personas

These pages include:

* Documentation how to set up devices or browsers wi",accessibility-resources,"The ""Accessibility Personas"" repository provides documentation on how to configure devices or browsers to simulate the web experience of individuals with various access needs. It aims to help developers and designers understand and address accessibility challenges by adopting the perspectives of different personas. This resource supports creating more inclusive digital experiences."
accessibility-self-evaluation,Helps users evaluate the accessibility of their website,1,3,HTML,"# Technical Documentation

This project uses the [Tech Docs Template][template], which is a [Middlem",accessibility-resources,"This GitHub repository provides a tool for evaluating the accessibility of websites. It leverages the Tech Docs Template, a Middleman-based framework, to deliver technical documentation. The project aims to assist users in ensuring their websites meet accessibility standards effectively."
accessibility-tool-audit,Automated accessibility tools audit,84,31,HTML,"# Accessibility tool audit

Automated accessibility checkers can be used to help identify accessibil",accessibility-resources,This GitHub repository is focused on auditing automated accessibility tools. It aims to evaluate their effectiveness in identifying accessibility issues in digital content. The project likely involves testing and analyzing various accessibility checkers to improve inclusivity and compliance with accessibility standards.
accessible-autocomplete,"An autocomplete component, built to be accessible.",942,149,JavaScript,"# Accessible autocomplete

The accessible autocomplete is a component that helps users choose answer",accessibility-resources,"Accessible Autocomplete is a component designed to assist users in selecting answers while prioritizing accessibility. It ensures usability for individuals with diverse needs, making it an inclusive tool for implementing autocomplete functionality."
accessible-autocomplete-multiselect,"An autocomplete multi-select component, built to be accessible.",17,2,JavaScript,"# Accessible autocomplete multi select (DEPRECATED)

> **NOTE**: This project is deprecated and is [",archived,This GitHub repository provides an accessible autocomplete multi-select component but has been deprecated. Users are advised that the project is no longer actively maintained.
Accessible-Media-Player,Accessible Media Player by Nomensa,7,7,JavaScript,"# [Nomensa](http://www.nomensa.com/) - Accessible Media Player

## About

The Nomensa accessible med",accessibility-resources,"The Nomensa Accessible Media Player is a project focused on creating an inclusive and user-friendly media player that adheres to accessibility standards. Developed by Nomensa, it aims to ensure equal access to media content for all users, including those with disabilities. The repository provides the tools and documentation needed to implement the player effectively."
account-api,An account for GOV.UK,6,3,Ruby,"# Account API

Provides sign in / sign out and attribute storage functionality to
other GOV.UK appli",government-digital-transformation,"The repository provides an ""Account API"" for GOV.UK, enabling functionality for user sign-in, sign-out, and attribute storage. It is designed to support other GOV.UK applications by managing user account-related operations."
ai-publishing-feedback-experimentation-2024,Experimentation work started in Feb 2024 on how AI could help in understanding user feedback in GOV.UK Publishing,3,0,Python,"# AI Publishing Feedback Experimentation

**Archived** - Repository of experimentation that may get ",government-digital-transformation,"This repository documents experimental work started in February 2024 to explore how AI can assist in analyzing user feedback for GOV.UK Publishing. The project has since been archived, indicating it is no longer actively maintained."
ai-ruby-test-app-2023,Some AI stuff written in Ruby to try and understand how this stuff hangs together,0,0,HTML,"# AI for Ruby Devs

**Archived** Experimentation project from the AI team in 2023.

## Getting start",ai,"This GitHub repository contains experimental AI projects written in Ruby, aimed at helping developers understand AI concepts and how they integrate. It was created by the AI team in 2023 and has since been archived. The README provides minimal guidance, focusing on experimentation rather than production-ready tools."
alphagov.github.io,GitHub organisation site for GDS. Also an Apache Maven repository.,23,5,HTML,"# GitHub organisation site for GDS

This is the GitHub organisation site for GDS.

[View this site o",government-digital-transformation,This repository serves as the GitHub organization site for GDS and also functions as an Apache Maven repository. It hosts resources and information related to the GDS organization.
analytics-settings-database,Export Google Analytics (GA4 and UA) settings ,1,0,Python,"## Google Analytics Settings Database

This is not an officially supported Google product.

This rep",data science,This repository provides tools to export and manage Google Analytics settings for both GA4 and UA (Universal Analytics). It is not an officially supported Google product. The project aims to facilitate the extraction and organization of analytics configuration data.
ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid writing scripts or custom code to deploy and update your applications — automate in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com/ansible/",0,2,Python,"|PyPI version| |Docs badge| |Build Status|

*******
Ansible
*******

Ansible is a radically simple I",it-automation,"Ansible is an IT automation platform designed to simplify application and system deployment using a plain-English approach. It leverages SSH for automation without requiring agents on remote systems. The tool enables users to avoid scripting or custom coding by providing a straightforward, efficient solution for managing IT infrastructure. Comprehensive documentation is available at [docs.ansible.com](https://docs.ansible.com/ansible/)."
anthology,The GDS Library web app.,9,8,Ruby,"# Anthology

An easier way to keep track of the books on your office bookshelf.

* Uses Google authe",book-management,Anthology is a web app designed to help users easily manage and track books on their office bookshelf. It incorporates Google authentication for user access and management. The app is part of the GDS Library project.
api-explorer,An API explorer to help people get to grips with the GOV.UK APIs,3,5,JavaScript,"## GOV.UK Api Explorer

The code behind http://govuk-api.heroku.com

This is a simple rack and javas",government-digital-transformation,"The GitHub repository hosts the code for the GOV.UK API Explorer, which is a tool designed to help users understand and interact with GOV.UK APIs. The application is built using Rack and JavaScript and is deployed at http://govuk-api.heroku.com. It provides a straightforward interface for exploring API functionalities."
api-standards,No description,1,2,None specified,"# White House Web API Standards

* [Guidelines](#guidelines)
* [Pragmatic REST](#pragmatic-rest)
* [",government-open-source-template,"This repository contains the ""White House Web API Standards,"" which provides guidelines and best practices for designing and implementing pragmatic RESTful APIs. It outlines principles to ensure consistency, usability, and reliability in API development. The document is structured with sections such as ""Guidelines"" and ""Pragmatic REST"" to support developers in creating high-quality APIs."
app-performance-summary,Extract and summarise performance data for the GOV.UK applications,1,2,Python,"# GOV.UK App performance summary

Extracts error rate information from graphite.

## Nomenclature

-",government-digital-transformation,"The GitHub repository focuses on extracting and summarizing performance data for GOV.UK applications. It retrieves error rate information from Graphite, aiding in monitoring and analyzing application performance metrics. The README is minimal and does not elaborate further."
apprentice-news,A Hacker News clone for apprentices,0,4,Ruby,# Apprentice News [![Build Status](https://travis-ci.org/alphagov/apprentice-news.svg?branch=master),web development,"Apprentice News is a Hacker News clone designed for apprentices to practice and improve their development skills. The repository provides a simplified version of the popular news aggregation platform, offering functionalities for posting, commenting, and ranking content. It includes a build status badge, indicating integration with Travis CI for continuous integration. The project serves as a learning tool for apprentices to gain hands-on experience with web development and collaborative coding practices."
apprentice_quiz_app,No description,0,0,Ruby,"# Quiz Application in Rails

This is a basic Rails-based quiz application that allows users to creat",web development,This repository contains a basic quiz application built using Ruby on Rails. The application enables users to create quizzes and interact with them. It serves as a foundational project for learning or building quiz-related features in Rails.
aquae-java,Aquae is a protocol for personal data exchange (PDE) in Government. This is an implementation along with a collection of tools and fixings.,0,2,Java,README not available,algorithmic-impact-assessment,"Aquae is a protocol designed to facilitate the secure and efficient exchange of personal data in government systems. The repository provides an implementation of the protocol along with supplementary tools and fixes to support its functionality. However, the README file is not available, limiting further details about its usage or setup."
aquae-match,Aquae is a protocol for personal data exchange (PDE) in Government. This is a Ruby prototype for matching identities,0,2,Ruby,"# aquae-match
Aquae is a protocol for personal data exchange (PDE) in Government. This is a Ruby pro",government-digital-transformation,Aquae is a Ruby-based prototype implementing a protocol for personal data exchange (PDE) in government systems. It focuses on identity matching to facilitate secure and efficient data sharing.
aquae-ruby,"A Ruby implementation of Aquae, a protocol for personal data exchange in Government.",0,2,Ruby,"# Aquae

This gem is a low-level library for interacting with an AQuAE (Attributes, Questions, Answe",cybersecurity,"Aquae is a Ruby library designed to facilitate interaction with the AQuAE protocol, which enables secure and efficient personal data exchange in government contexts. It serves as a low-level tool for handling attributes, questions, and answers within the protocol. The gem is intended for developers working on systems that require streamlined and compliant data exchange mechanisms."
ai-gov-uk-cms,Content Management System for ai.gov.uk website,0,0,Nunjucks,"# ai-gov-uk-cms
Content Management System for ai.gov.uk website

Documentation for Decap CMS can be ",government-digital-transformation,"The repository ""ai-gov-uk-cms"" hosts the Content Management System (CMS) for the ai.gov.uk website. It utilizes Decap CMS, with documentation available for setup and usage. The repository enables efficient management of website content specific to AI-related government initiatives."
ai-gov-uk-website,No description,2,0,Nunjucks,"# AI.gov.uk site

This is our repository for our [public website](https://ai.gov.uk/). The intent of",government-digital-transformation,This repository contains the source code and resources for the public website [AI.gov.uk](https://ai.gov.uk/). It serves as the official platform for hosting information related to AI initiatives in the UK.
approval-form,No description,0,0,Python,"To run this project:

    docker-compose up --build --force-recreate web
",docker,This repository provides a project that can be run using Docker. The command `docker-compose up --build --force-recreate web` is used to build and start the application. No additional details about the project's purpose or functionality are provided.
ask-ai-archive,Ask AI archive,0,1,Python,"# Ask AI

**This repo is an archive - the project is no longer being maintained.**

This is a Django",archived,Ask AI is an archived project built with Django that is no longer being actively maintained. It served as a platform for AI-related functionalities but is now preserved for reference purposes only.
automatilib,No description,0,0,Python,"# i.AI Shared Code

`automatilib` is a django package used and developed by the i.AI team within the",it-automation,"`automatilib` is a Django package developed by the i.AI team. The repository appears to host shared code for the team's projects, likely aimed at streamlining or automating certain functionalities within Django applications."
awesome-gov-datasets,A curated set of references to useful UK Government datasets ,104,6,Python,"# Awesome UK Government Datasets

[![Awesome](https://cdn.rawgit.com/sindresorhus/awesome/d7305f38d2",government-open-data,"This repository is a curated collection of references to valuable datasets provided by the UK government. It aims to organize and highlight useful open data resources for developers, researchers, and policymakers. The repository aligns with the ""awesome"" list format, providing a structured and accessible way to explore UK government data."
brise-bureau-hack,Incubator for AI - Paris Hackathon - Generative AI for the Public Good,0,1,Python,"# Incubator for AI: Paris Generative AI for the Public Good Hackathon

> [!IMPORTANT]
> Hackathon pr",generative-ai-for-social-good,"The repository is dedicated to an AI incubator focused on a Paris Hackathon centered around generative AI for public good. It aims to foster innovation and collaboration in using generative AI to address societal challenges. The README appears to be incomplete, but the initiative emphasizes leveraging AI for positive social impact."
caddy-chatbot,Caddy is an AI powered co-pilot for customer service functions everywhere.,20,8,Python,"# Caddy Chatbot

Caddy is an LLM powered co-pilot for customer service functions everywhere. This co",generative-ai-for-social-good,"Caddy is an AI-powered chatbot designed to assist with customer service functions. Utilizing large language models (LLMs), it acts as a co-pilot to streamline and enhance customer support processes across various platforms."
caddy-scraper,No description,3,3,Python,"# Caddy Scraper

This is the modular scraper designed for [caddy-chatbot](https://github.com/i-dot-a",web scraping,Caddy Scraper is a modular scraping tool developed for integration with the [Caddy Chatbot](https://github.com/i-dot-a). It is designed to support flexible and efficient data extraction functionalities tailored for chatbot applications. The repository provides a framework for scraping and processing web data.
